"PAs","Pitches","Walks","Strikeouts","HBP"
4,15,0,1,0
3,8,0,0,0
5,17,0,1,0
4,19,0,1,0
4,9,0,1,0
4,8,0,1,1
3,9,0,1,0
3,10,0,1,0
3,12,0,3,0
4,10,0,1,0
3,8,0,1,0
3,11,0,1,0
4,13,0,0,0
3,5,0,0,0
4,16,1,2,0
5,10,1,0,0
3,8,0,1,0
3,12,0,0,0
4,13,0,0,0
3,15,1,1,0
3,14,0,0,0
3,8,0,0,0
3,15,0,1,0
3,13,0,1,0
4,13,0,1,0
4,9,0,1,0
4,12,0,1,1
4,9,0,1,0
4,11,0,1,0
3,9,0,0,0
3,12,0,0,0
5,18,1,1,0
5,24,0,1,0
3,7,0,0,0
5,16,0,0,0
3,8,0,1,0
6,25,1,1,0
3,9,0,1,0
5,10,0,1,1
8,28,1,0,0
3,11,0,1,0
3,17,0,3,0
4,9,0,0,0
5,11,1,0,0
5,16,0,0,0
3,5,0,0,0
3,11,0,1,0
6,23,0,3,0
3,10,0,2,0
5,23,0,2,1
5,7,0,0,1
5,17,0,1,0
6,9,0,0,0
4,10,0,0,0
6,13,0,1,0
12,36,2,0,0
5,14,0,0,0
5,21,1,2,0
5,16,0,1,0
4,5,0,0,0
3,4,0,0,0
3,12,0,1,0
3,8,0,0,0
6,12,0,0,0
6,11,0,1,0
4,12,0,1,0
4,16,0,0,0
6,22,0,1,0
3,7,0,0,0
6,12,0,0,1
4,10,0,2,0
4,13,0,0,0
3,5,0,0,0
3,19,0,3,0
5,12,0,1,0
4,12,0,0,0
5,15,0,2,0
4,12,0,2,0
3,9,0,2,0
4,8,0,0,0
5,16,1,1,1
6,23,0,3,0
7,18,0,0,0
3,8,0,0,0
6,17,0,1,0
3,8,0,0,0
3,15,0,1,0
4,19,0,0,0
2,7,0,0,0
5,16,0,1,1
3,10,0,2,0
4,11,1,0,0
3,8,0,1,0
7,13,0,1,0
6,14,0,0,0
7,16,0,1,0
4,23,1,2,0
5,20,0,3,0
3,16,0,1,0
7,32,0,3,0
3,3,0,0,0
